Start conv=19, red footprints found: 1
d=1: frontier=12, visited=59, red_footprints=1 (+0), t=0s, mem=0MB
d=611: frontier=12, visited=251638, red_footprints=1 (+0), t=18s, mem=120MB
d=612: frontier=12, visited=252073, red_footprints=1 (+0), t=18s, mem=120MB
d=613: frontier=12, visited=252558, red_footprints=1 (+0), t=18s, mem=120MB
d=614: frontier=12, visited=252928, red_footprints=1 (+0), t=18s, mem=121MB
d=615: frontier=12, visited=253412, red_footprints=1 (+0), t=18s, mem=121MB
d=616: frontier=12, visited=253839, red_footprints=1 (+0), t=18s, mem=121MB
d=617: frontier=12, visited=254299, red_footprints=1 (+0), t=18s, mem=121MB
d=618: frontier=12, visited=254690, red_footprints=1 (+0), t=18s, mem=121MB
d=619: frontier=12, visited=255083, red_footprints=1 (+0), t=18s, mem=122MB
d=620: frontier=12, visited=255474, red_footprints=1 (+0), t=18s, mem=122MB
d=621: frontier=12, visited=255917, red_footprints=1 (+0), t=18s, mem=122MB
d=622: frontier=12, visited=256355, red_footprints=1 (+0), t=18s, mem=122MB
d=623: frontier=12, visited=256722, red_footprints=1 (+0), t=18s, mem=122MB
d=624: frontier=12, visited=257130, red_footprints=1 (+0), t=18s, mem=123MB
d=625: frontier=12, visited=257530, red_footprints=1 (+0), t=18s, mem=123MB
d=626: frontier=12, visited=257922, red_footprints=1 (+0), t=18s, mem=123MB
d=627: frontier=12, visited=258336, red_footprints=1 (+0), t=18s, mem=123MB
d=628: frontier=12, visited=258740, red_footprints=1 (+0), t=18s, mem=123MB
d=629: frontier=12, visited=259130, red_footprints=1 (+0), t=18s, mem=124MB
d=630: frontier=12, visited=259521, red_footprints=1 (+0), t=18s, mem=124MB
d=631: frontier=12, visited=259836, red_footprints=1 (+0), t=18s, mem=124MB
d=632: frontier=12, visited=260172, red_footprints=1 (+0), t=18s, mem=124MB
d=633: frontier=12, visited=260511, red_footprints=1 (+0), t=18s, mem=124MB
d=634: frontier=12, visited=260899, red_footprints=1 (+0), t=18s, mem=124MB
d=635: frontier=12, visited=261252, red_footprints=1 (+0), t=18s, mem=125MB
d=636: frontier=12, visited=261707, red_footprints=1 (+0), t=18s, mem=125MB
d=637: frontier=12, visited=262156, red_footprints=1 (+0), t=18s, mem=125MB
d=638: frontier=12, visited=262652, red_footprints=1 (+0), t=18s, mem=125MB
d=639: frontier=12, visited=263144, red_footprints=1 (+0), t=18s, mem=125MB
d=640: frontier=12, visited=263523, red_footprints=1 (+0), t=18s, mem=126MB
d=641: frontier=12, visited=264015, red_footprints=1 (+0), t=18s, mem=126MB
d=642: frontier=12, visited=264544, red_footprints=1 (+0), t=19s, mem=126MB
d=643: frontier=12, visited=265061, red_footprints=1 (+0), t=19s, mem=126MB
d=644: frontier=12, visited=265497, red_footprints=1 (+0), t=19s, mem=127MB
d=645: frontier=12, visited=265931, red_footprints=1 (+0), t=19s, mem=127MB
d=646: frontier=12, visited=266369, red_footprints=1 (+0), t=19s, mem=127MB
d=647: frontier=12, visited=266837, red_footprints=1 (+0), t=19s, mem=127MB
d=648: frontier=12, visited=267271, red_footprints=1 (+0), t=19s, mem=127MB
d=649: frontier=12, visited=267716, red_footprints=1 (+0), t=19s, mem=128MB
d=650: frontier=12, visited=268128, red_footprints=1 (+0), t=19s, mem=128MB
d=651: frontier=12, visited=268596, red_footprints=1 (+0), t=19s, mem=128MB
d=652: frontier=12, visited=269067, red_footprints=1 (+0), t=19s, mem=128MB
d=653: frontier=12, visited=269505, red_footprints=1 (+0), t=19s, mem=129MB
d=654: frontier=12, visited=269934, red_footprints=1 (+0), t=19s, mem=129MB
d=655: frontier=12, visited=270350, red_footprints=1 (+0), t=19s, mem=129MB
d=656: frontier=12, visited=270689, red_footprints=1 (+0), t=19s, mem=129MB
d=657: frontier=12, visited=271043, red_footprints=1 (+0), t=19s, mem=129MB
d=658: frontier=12, visited=271388, red_footprints=1 (+0), t=19s, mem=129MB
d=659: frontier=12, visited=271784, red_footprints=1 (+0), t=19s, mem=130MB
d=660: frontier=12, visited=272150, red_footprints=1 (+0), t=19s, mem=130MB
d=661: frontier=12, visited=272471, red_footprints=1 (+0), t=19s, mem=130MB
d=662: frontier=12, visited=272830, red_footprints=1 (+0), t=19s, mem=130MB
d=663: frontier=12, visited=273194, red_footprints=1 (+0), t=19s, mem=130MB
d=664: frontier=12, visited=273482, red_footprints=1 (+0), t=19s, mem=130MB
d=665: frontier=12, visited=273875, red_footprints=1 (+0), t=19s, mem=131MB
d=666: frontier=12, visited=274216, red_footprints=1 (+0), t=19s, mem=131MB
d=667: frontier=12, visited=274601, red_footprints=1 (+0), t=19s, mem=131MB
d=668: frontier=12, visited=274922, red_footprints=1 (+0), t=19s, mem=131MB
d=669: frontier=12, visited=275264, red_footprints=1 (+0), t=19s, mem=131MB
d=670: frontier=12, visited=275619, red_footprints=1 (+0), t=19s, mem=131MB
d=671: frontier=12, visited=276029, red_footprints=1 (+0), t=19s, mem=132MB
d=672: frontier=12, visited=276440, red_footprints=1 (+0), t=19s, mem=132MB
d=673: frontier=12, visited=276894, red_footprints=1 (+0), t=19s, mem=132MB
d=674: frontier=12, visited=277340, red_footprints=1 (+0), t=19s, mem=132MB
d=675: frontier=12, visited=277840, red_footprints=1 (+0), t=19s, mem=132MB
d=676: frontier=12, visited=278345, red_footprints=1 (+0), t=19s, mem=133MB
d=677: frontier=12, visited=278785, red_footprints=1 (+0), t=19s, mem=133MB
d=678: frontier=12, visited=279203, red_footprints=1 (+0), t=20s, mem=133MB
d=679: frontier=12, visited=279632, red_footprints=1 (+0), t=20s, mem=133MB
d=680: frontier=12, visited=279984, red_footprints=1 (+0), t=20s, mem=134MB
d=681: frontier=12, visited=280344, red_footprints=1 (+0), t=20s, mem=134MB
d=682: frontier=12, visited=280695, red_footprints=1 (+0), t=20s, mem=134MB
d=683: frontier=12, visited=281097, red_footprints=1 (+0), t=20s, mem=134MB
d=684: frontier=12, visited=281463, red_footprints=1 (+0), t=20s, mem=134MB
d=685: frontier=12, visited=281784, red_footprints=1 (+0), t=20s, mem=134MB
d=686: frontier=12, visited=282144, red_footprints=1 (+0), t=20s, mem=135MB
d=687: frontier=12, visited=282508, red_footprints=1 (+0), t=20s, mem=135MB
d=688: frontier=12, visited=282795, red_footprints=1 (+0), t=20s, mem=135MB
d=689: frontier=12, visited=283186, red_footprints=1 (+0), t=20s, mem=135MB
d=690: frontier=12, visited=283505, red_footprints=1 (+0), t=20s, mem=135MB
d=691: frontier=12, visited=283868, red_footprints=1 (+0), t=20s, mem=135MB
d=692: frontier=12, visited=284164, red_footprints=1 (+0), t=20s, mem=135MB
d=693: frontier=12, visited=284475, red_footprints=1 (+0), t=20s, mem=136MB
d=694: frontier=12, visited=284825, red_footprints=1 (+0), t=20s, mem=136MB
d=695: frontier=12, visited=285230, red_footprints=1 (+0), t=20s, mem=136MB
d=696: frontier=12, visited=285623, red_footprints=1 (+0), t=20s, mem=136MB
d=697: frontier=12, visited=286099, red_footprints=1 (+0), t=20s, mem=136MB
d=698: frontier=12, visited=286570, red_footprints=1 (+0), t=20s, mem=137MB
d=699: frontier=12, visited=287090, red_footprints=1 (+0), t=20s, mem=137MB
d=700: frontier=12, visited=287618, red_footprints=1 (+0), t=20s, mem=137MB
d=701: frontier=12, visited=288080, red_footprints=1 (+0), t=20s, mem=137MB
d=702: frontier=12, visited=288526, red_footprints=1 (+0), t=20s, mem=138MB
d=703: frontier=12, visited=288987, red_footprints=1 (+0), t=20s, mem=138MB
d=704: frontier=12, visited=289347, red_footprints=1 (+0), t=20s, mem=138MB
d=705: frontier=12, visited=289694, red_footprints=1 (+0), t=20s, mem=138MB
d=706: frontier=12, visited=290054, red_footprints=1 (+0), t=20s, mem=138MB
d=707: frontier=12, visited=290441, red_footprints=1 (+0), t=20s, mem=138MB
d=708: frontier=12, visited=290816, red_footprints=1 (+0), t=20s, mem=139MB
d=709: frontier=12, visited=291122, red_footprints=1 (+0), t=20s, mem=139MB
d=710: frontier=12, visited=291458, red_footprints=1 (+0), t=20s, mem=139MB
d=711: frontier=12, visited=291798, red_footprints=1 (+0), t=20s, mem=139MB
d=712: frontier=12, visited=292072, red_footprints=1 (+0), t=20s, mem=139MB
d=713: frontier=12, visited=292437, red_footprints=1 (+0), t=20s, mem=139MB
d=714: frontier=12, visited=292771, red_footprints=1 (+0), t=21s, mem=140MB
d=715: frontier=12, visited=293147, red_footprints=1 (+0), t=21s, mem=140MB
d=716: frontier=12, visited=293527, red_footprints=1 (+0), t=21s, mem=140MB
d=717: frontier=12, visited=293901, red_footprints=1 (+0), t=21s, mem=140MB
d=718: frontier=12, visited=294264, red_footprints=1 (+0), t=21s, mem=140MB
d=719: frontier=12, visited=294630, red_footprints=1 (+0), t=21s, mem=140MB
d=720: frontier=12, visited=295055, red_footprints=1 (+0), t=21s, mem=141MB
d=721: frontier=12, visited=295478, red_footprints=1 (+0), t=21s, mem=141MB
d=722: frontier=12, visited=295944, red_footprints=1 (+0), t=21s, mem=141MB
d=723: frontier=12, visited=296393, red_footprints=1 (+0), t=21s, mem=141MB
d=724: frontier=12, visited=296882, red_footprints=1 (+0), t=21s, mem=142MB
d=725: frontier=12, visited=297362, red_footprints=1 (+0), t=21s, mem=142MB
d=726: frontier=12, visited=297781, red_footprints=1 (+0), t=21s, mem=142MB
d=727: frontier=12, visited=298144, red_footprints=1 (+0), t=21s, mem=142MB
d=728: frontier=12, visited=298575, red_footprints=1 (+0), t=21s, mem=142MB
d=729: frontier=12, visited=298963, red_footprints=1 (+0), t=21s, mem=143MB
d=730: frontier=12, visited=299332, red_footprints=1 (+0), t=21s, mem=143MB
d=731: frontier=12, visited=299675, red_footprints=1 (+0), t=21s, mem=143MB
d=732: frontier=12, visited=300042, red_footprints=1 (+0), t=21s, mem=143MB
d=733: frontier=12, visited=300452, red_footprints=1 (+0), t=21s, mem=143MB
d=734: frontier=12, visited=300783, red_footprints=1 (+0), t=21s, mem=143MB
d=735: frontier=12, visited=301148, red_footprints=1 (+0), t=21s, mem=144MB
d=736: frontier=12, visited=301514, red_footprints=1 (+0), t=21s, mem=144MB
d=737: frontier=12, visited=301794, red_footprints=1 (+0), t=21s, mem=144MB
d=738: frontier=12, visited=302205, red_footprints=1 (+0), t=21s, mem=144MB
d=739: frontier=12, visited=302621, red_footprints=1 (+0), t=21s, mem=144MB
d=740: frontier=12, visited=303073, red_footprints=1 (+0), t=21s, mem=145MB
d=741: frontier=12, visited=303492, red_footprints=1 (+0), t=21s, mem=145MB
d=742: frontier=12, visited=303923, red_footprints=1 (+0), t=21s, mem=145MB
d=743: frontier=12, visited=304354, red_footprints=1 (+0), t=21s, mem=145MB
d=744: frontier=12, visited=304811, red_footprints=1 (+0), t=21s, mem=145MB
d=745: frontier=12, visited=305302, red_footprints=1 (+0), t=21s, mem=146MB
d=746: frontier=12, visited=305845, red_footprints=1 (+0), t=21s, mem=146MB
d=747: frontier=12, visited=306328, red_footprints=1 (+0), t=21s, mem=146MB
d=748: frontier=12, visited=306845, red_footprints=1 (+0), t=21s, mem=146MB
d=749: frontier=12, visited=307338, red_footprints=1 (+0), t=21s, mem=147MB
d=750: frontier=12, visited=307764, red_footprints=1 (+0), t=22s, mem=147MB
d=751: frontier=12, visited=308154, red_footprints=1 (+0), t=22s, mem=147MB
d=752: frontier=12, visited=308538, red_footprints=1 (+0), t=22s, mem=147MB
d=753: frontier=12, visited=308918, red_footprints=1 (+0), t=22s, mem=147MB
d=754: frontier=12, visited=309365, red_footprints=1 (+0), t=22s, mem=148MB
d=755: frontier=12, visited=309728, red_footprints=1 (+0), t=22s, mem=148MB
d=756: frontier=12, visited=310094, red_footprints=1 (+0), t=22s, mem=148MB
d=757: frontier=12, visited=310500, red_footprints=1 (+0), t=22s, mem=148MB
d=758: frontier=12, visited=310822, red_footprints=1 (+0), t=22s, mem=148MB
d=759: frontier=12, visited=311183, red_footprints=1 (+0), t=22s, mem=148MB
d=760: frontier=12, visited=311538, red_footprints=1 (+0), t=22s, mem=149MB
d=761: frontier=12, visited=311817, red_footprints=1 (+0), t=22s, mem=149MB
d=762: frontier=12, visited=312230, red_footprints=1 (+0), t=22s, mem=149MB
d=763: frontier=12, visited=312644, red_footprints=1 (+0), t=22s, mem=149MB
d=764: frontier=12, visited=313059, red_footprints=1 (+0), t=22s, mem=149MB
d=765: frontier=12, visited=313484, red_footprints=1 (+0), t=22s, mem=149MB
d=766: frontier=12, visited=313969, red_footprints=1 (+0), t=22s, mem=150MB
d=767: frontier=12, visited=314384, red_footprints=1 (+0), t=22s, mem=150MB
d=768: frontier=12, visited=314827, red_footprints=1 (+0), t=22s, mem=150MB
d=769: frontier=12, visited=315260, red_footprints=1 (+0), t=22s, mem=150MB
d=770: frontier=12, visited=315782, red_footprints=1 (+0), t=22s, mem=151MB
d=771: frontier=12, visited=316242, red_footprints=1 (+0), t=22s, mem=151MB
d=772: frontier=12, visited=316737, red_footprints=1 (+0), t=22s, mem=151MB
d=773: frontier=12, visited=317224, red_footprints=1 (+0), t=22s, mem=151MB
d=774: frontier=12, visited=317643, red_footprints=1 (+0), t=22s, mem=151MB
d=775: frontier=12, visited=318021, red_footprints=1 (+0), t=22s, mem=152MB
d=776: frontier=12, visited=318388, red_footprints=1 (+0), t=22s, mem=152MB
d=777: frontier=12, visited=318747, red_footprints=1 (+0), t=22s, mem=152MB
d=778: frontier=12, visited=319158, red_footprints=1 (+0), t=22s, mem=152MB
d=779: frontier=12, visited=319507, red_footprints=1 (+0), t=22s, mem=152MB
d=780: frontier=12, visited=319878, red_footprints=1 (+0), t=22s, mem=153MB
d=781: frontier=12, visited=320272, red_footprints=1 (+0), t=22s, mem=153MB
d=782: frontier=12, visited=320687, red_footprints=1 (+0), t=22s, mem=153MB
d=783: frontier=12, visited=321050, red_footprints=1 (+0), t=22s, mem=153MB
d=784: frontier=12, visited=321430, red_footprints=1 (+0), t=22s, mem=153MB
d=785: frontier=12, visited=321807, red_footprints=1 (+0), t=22s, mem=153MB
d=786: frontier=12, visited=322062, red_footprints=1 (+0), t=22s, mem=154MB
d=787: frontier=12, visited=322416, red_footprints=1 (+0), t=23s, mem=154MB
d=788: frontier=12, visited=322745, red_footprints=1 (+0), t=23s, mem=154MB
d=789: frontier=12, visited=323024, red_footprints=1 (+0), t=23s, mem=154MB
d=790: frontier=12, visited=323319, red_footprints=1 (+0), t=23s, mem=154MB
d=791: frontier=12, visited=323665, red_footprints=1 (+0), t=23s, mem=154MB
d=792: frontier=12, visited=323946, red_footprints=1 (+0), t=23s, mem=154MB
d=793: frontier=12, visited=324288, red_footprints=1 (+0), t=23s, mem=155MB
d=794: frontier=12, visited=324662, red_footprints=1 (+0), t=23s, mem=155MB
d=795: frontier=12, visited=325067, red_footprints=1 (+0), t=23s, mem=155MB
d=796: frontier=12, visited=325493, red_footprints=1 (+0), t=23s, mem=155MB
d=797: frontier=12, visited=325972, red_footprints=1 (+0), t=23s, mem=155MB
d=798: frontier=12, visited=326446, red_footprints=1 (+0), t=23s, mem=156MB
d=799: frontier=12, visited=326853, red_footprints=1 (+0), t=23s, mem=156MB
d=800: frontier=12, visited=327253, red_footprints=1 (+0), t=23s, mem=156MB
d=801: frontier=12, visited=327631, red_footprints=1 (+0), t=23s, mem=156MB
d=802: frontier=12, visited=328010, red_footprints=1 (+0), t=23s, mem=156MB
d=803: frontier=12, visited=328449, red_footprints=1 (+0), t=23s, mem=157MB
d=804: frontier=12, visited=328802, red_footprints=1 (+0), t=23s, mem=157MB
d=805: frontier=12, visited=329165, red_footprints=1 (+0), t=23s, mem=157MB
d=806: frontier=12, visited=329580, red_footprints=1 (+0), t=23s, mem=157MB
d=807: frontier=12, visited=329927, red_footprints=1 (+0), t=23s, mem=157MB
d=808: frontier=12, visited=330305, red_footprints=1 (+0), t=23s, mem=158MB
d=809: frontier=12, visited=330679, red_footprints=1 (+0), t=23s, mem=158MB
d=810: frontier=12, visited=330971, red_footprints=1 (+0), t=23s, mem=158MB
d=811: frontier=12, visited=331328, red_footprints=1 (+0), t=23s, mem=158MB
d=812: frontier=12, visited=331645, red_footprints=1 (+0), t=23s, mem=158MB
d=813: frontier=12, visited=331938, red_footprints=1 (+0), t=23s, mem=158MB
d=814: frontier=12, visited=332232, red_footprints=1 (+0), t=23s, mem=158MB
d=815: frontier=12, visited=332591, red_footprints=1 (+0), t=23s, mem=159MB
d=816: frontier=12, visited=332869, red_footprints=1 (+0), t=23s, mem=159MB
d=817: frontier=12, visited=333197, red_footprints=1 (+0), t=23s, mem=159MB
d=818: frontier=12, visited=333611, red_footprints=1 (+0), t=23s, mem=159MB
d=819: frontier=12, visited=333999, red_footprints=1 (+0), t=23s, mem=159MB
d=820: frontier=12, visited=334403, red_footprints=1 (+0), t=23s, mem=159MB
d=821: frontier=12, visited=334844, red_footprints=1 (+0), t=23s, mem=160MB
d=822: frontier=12, visited=335221, red_footprints=1 (+0), t=23s, mem=160MB
d=823: frontier=12, visited=335585, red_footprints=1 (+0), t=24s, mem=160MB
d=824: frontier=12, visited=335923, red_footprints=1 (+0), t=24s, mem=160MB
d=825: frontier=12, visited=336277, red_footprints=1 (+0), t=24s, mem=160MB
d=826: frontier=12, visited=336683, red_footprints=1 (+0), t=24s, mem=161MB
d=827: frontier=12, visited=337032, red_footprints=1 (+0), t=24s, mem=161MB
d=828: frontier=12, visited=337417, red_footprints=1 (+0), t=24s, mem=161MB
d=829: frontier=12, visited=337766, red_footprints=1 (+0), t=24s, mem=161MB
d=830: frontier=12, visited=338158, red_footprints=1 (+0), t=24s, mem=161MB
d=831: frontier=12, visited=338502, red_footprints=1 (+0), t=24s, mem=161MB
d=832: frontier=12, visited=338850, red_footprints=1 (+0), t=24s, mem=162MB
d=833: frontier=12, visited=339194, red_footprints=1 (+0), t=24s, mem=162MB
d=834: frontier=12, visited=339445, red_footprints=1 (+0), t=24s, mem=162MB
d=835: frontier=12, visited=339850, red_footprints=1 (+0), t=24s, mem=162MB
d=836: frontier=12, visited=340245, red_footprints=1 (+0), t=24s, mem=162MB
d=837: frontier=12, visited=340657, red_footprints=1 (+0), t=24s, mem=162MB
d=838: frontier=12, visited=341099, red_footprints=1 (+0), t=24s, mem=163MB
d=839: frontier=12, visited=341586, red_footprints=1 (+0), t=24s, mem=163MB
d=840: frontier=12, visited=342015, red_footprints=1 (+0), t=24s, mem=163MB
d=841: frontier=12, visited=342484, red_footprints=1 (+0), t=24s, mem=163MB
d=842: frontier=12, visited=342918, red_footprints=1 (+0), t=24s, mem=164MB
d=843: frontier=12, visited=343424, red_footprints=1 (+0), t=24s, mem=164MB
d=844: frontier=12, visited=343863, red_footprints=1 (+0), t=24s, mem=164MB
d=845: frontier=12, visited=344338, red_footprints=1 (+0), t=24s, mem=164MB
d=846: frontier=12, visited=344810, red_footprints=1 (+0), t=24s, mem=164MB
d=847: frontier=12, visited=345243, red_footprints=1 (+0), t=24s, mem=165MB
d=848: frontier=12, visited=345718, red_footprints=1 (+0), t=24s, mem=165MB
d=849: frontier=12, visited=346186, red_footprints=1 (+0), t=24s, mem=165MB
d=850: frontier=12, visited=346662, red_footprints=1 (+0), t=24s, mem=165MB
d=851: frontier=12, visited=347136, red_footprints=1 (+0), t=24s, mem=166MB
d=852: frontier=12, visited=347673, red_footprints=1 (+0), t=24s, mem=166MB
d=853: frontier=12, visited=348154, red_footprints=1 (+0), t=24s, mem=166MB
d=854: frontier=12, visited=348673, red_footprints=1 (+0), t=24s, mem=166MB
d=855: frontier=12, visited=349127, red_footprints=1 (+0), t=24s, mem=166MB
d=856: frontier=12, visited=349608, red_footprints=1 (+0), t=24s, mem=167MB
d=857: frontier=12, visited=350150, red_footprints=1 (+0), t=25s, mem=167MB
d=858: frontier=12, visited=350664, red_footprints=1 (+0), t=25s, mem=167MB
d=859: frontier=12, visited=351202, red_footprints=1 (+0), t=25s, mem=167MB
d=860: frontier=12, visited=351667, red_footprints=1 (+0), t=25s, mem=168MB
d=861: frontier=12, visited=352080, red_footprints=1 (+0), t=25s, mem=168MB
d=862: frontier=12, visited=352494, red_footprints=1 (+0), t=25s, mem=168MB
d=863: frontier=12, visited=352888, red_footprints=1 (+0), t=25s, mem=168MB
d=864: frontier=12, visited=353350, red_footprints=1 (+0), t=25s, mem=168MB
d=865: frontier=12, visited=353721, red_footprints=1 (+0), t=25s, mem=169MB
d=866: frontier=12, visited=354136, red_footprints=1 (+0), t=25s, mem=169MB
d=867: frontier=12, visited=354499, red_footprints=1 (+0), t=25s, mem=169MB
d=868: frontier=12, visited=354883, red_footprints=1 (+0), t=25s, mem=169MB
d=869: frontier=12, visited=355199, red_footprints=1 (+0), t=25s, mem=169MB
d=870: frontier=12, visited=355564, red_footprints=1 (+0), t=25s, mem=170MB
d=871: frontier=12, visited=355931, red_footprints=1 (+0), t=25s, mem=170MB
d=872: frontier=12, visited=356213, red_footprints=1 (+0), t=25s, mem=170MB
d=873: frontier=12, visited=356631, red_footprints=1 (+0), t=25s, mem=170MB
d=874: frontier=12, visited=357101, red_footprints=1 (+0), t=25s, mem=170MB
d=875: frontier=12, visited=357577, red_footprints=1 (+0), t=25s, mem=171MB
d=876: frontier=12, visited=358058, red_footprints=1 (+0), t=25s, mem=171MB
d=877: frontier=12, visited=358606, red_footprints=1 (+0), t=25s, mem=171MB
d=878: frontier=12, visited=359073, red_footprints=1 (+0), t=25s, mem=171MB
d=879: frontier=12, visited=359582, red_footprints=1 (+0), t=25s, mem=171MB
d=880: frontier=12, visited=360048, red_footprints=1 (+0), t=25s, mem=172MB
d=881: frontier=12, visited=360618, red_footprints=1 (+0), t=25s, mem=172MB
d=882: frontier=12, visited=361130, red_footprints=1 (+0), t=25s, mem=172MB
d=883: frontier=12, visited=361643, red_footprints=1 (+0), t=25s, mem=172MB
d=884: frontier=12, visited=362171, red_footprints=1 (+0), t=25s, mem=173MB
d=885: frontier=12, visited=362578, red_footprints=1 (+0), t=25s, mem=173MB
d=886: frontier=12, visited=362968, red_footprints=1 (+0), t=25s, mem=173MB
d=887: frontier=12, visited=363336, red_footprints=1 (+0), t=25s, mem=173MB
d=888: frontier=12, visited=363686, red_footprints=1 (+0), t=25s, mem=173MB
d=889: frontier=12, visited=364103, red_footprints=1 (+0), t=26s, mem=174MB
d=890: frontier=12, visited=364459, red_footprints=1 (+0), t=26s, mem=174MB
d=891: frontier=12, visited=364864, red_footprints=1 (+0), t=26s, mem=174MB
d=892: frontier=12, visited=365227, red_footprints=1 (+0), t=26s, mem=174MB
d=893: frontier=12, visited=365610, red_footprints=1 (+0), t=26s, mem=174MB
d=894: frontier=12, visited=366029, red_footprints=1 (+0), t=26s, mem=175MB
d=895: frontier=12, visited=366478, red_footprints=1 (+0), t=26s, mem=175MB
d=896: frontier=12, visited=366908, red_footprints=1 (+0), t=26s, mem=175MB
d=897: frontier=12, visited=367340, red_footprints=1 (+0), t=26s, mem=175MB
d=898: frontier=12, visited=367811, red_footprints=1 (+0), t=26s, mem=175MB
d=899: frontier=12, visited=368285, red_footprints=1 (+0), t=26s, mem=176MB
d=900: frontier=12, visited=368761, red_footprints=1 (+0), t=26s, mem=176MB
d=901: frontier=12, visited=369242, red_footprints=1 (+0), t=26s, mem=176MB
d=902: frontier=12, visited=369769, red_footprints=1 (+0), t=26s, mem=176MB
d=903: frontier=12, visited=370250, red_footprints=1 (+0), t=26s, mem=177MB
d=904: frontier=12, visited=370798, red_footprints=1 (+0), t=26s, mem=177MB
d=905: frontier=12, visited=371290, red_footprints=1 (+0), t=26s, mem=177MB
d=906: frontier=12, visited=371788, red_footprints=1 (+0), t=26s, mem=177MB
d=907: frontier=12, visited=372301, red_footprints=1 (+0), t=26s, mem=178MB
d=908: frontier=12, visited=372851, red_footprints=1 (+0), t=26s, mem=178MB
d=909: frontier=12, visited=373391, red_footprints=1 (+0), t=26s, mem=178MB
d=910: frontier=12, visited=373832, red_footprints=1 (+0), t=26s, mem=178MB
d=911: frontier=12, visited=374232, red_footprints=1 (+0), t=26s, mem=178MB
d=912: frontier=12, visited=374606, red_footprints=1 (+0), t=26s, mem=179MB
d=913: frontier=12, visited=374967, red_footprints=1 (+0), t=26s, mem=179MB
d=914: frontier=12, visited=375372, red_footprints=1 (+0), t=26s, mem=179MB
d=915: frontier=12, visited=375717, red_footprints=1 (+0), t=26s, mem=179MB
d=916: frontier=12, visited=376123, red_footprints=1 (+0), t=26s, mem=179MB
d=917: frontier=12, visited=376490, red_footprints=1 (+0), t=26s, mem=180MB
d=918: frontier=12, visited=376847, red_footprints=1 (+0), t=26s, mem=180MB
d=919: frontier=12, visited=377263, red_footprints=1 (+0), t=26s, mem=180MB
d=920: frontier=12, visited=377682, red_footprints=1 (+0), t=26s, mem=180MB
d=921: frontier=12, visited=378085, red_footprints=1 (+0), t=26s, mem=180MB
d=922: frontier=12, visited=378507, red_footprints=1 (+0), t=26s, mem=180MB
d=923: frontier=12, visited=379055, red_footprints=1 (+0), t=27s, mem=181MB
d=924: frontier=12, visited=379591, red_footprints=1 (+0), t=27s, mem=181MB
d=925: frontier=12, visited=380125, red_footprints=1 (+0), t=27s, mem=181MB
d=926: frontier=12, visited=380721, red_footprints=1 (+0), t=27s, mem=182MB
d=927: frontier=12, visited=381261, red_footprints=1 (+0), t=27s, mem=182MB
d=928: frontier=12, visited=381855, red_footprints=1 (+0), t=27s, mem=182MB
d=929: frontier=12, visited=382367, red_footprints=1 (+0), t=27s, mem=182MB
d=930: frontier=12, visited=382885, red_footprints=1 (+0), t=27s, mem=183MB
d=931: frontier=12, visited=383455, red_footprints=1 (+0), t=27s, mem=183MB
d=932: frontier=12, visited=384003, red_footprints=1 (+0), t=27s, mem=183MB
d=933: frontier=12, visited=384557, red_footprints=1 (+0), t=27s, mem=183MB
d=934: frontier=12, visited=385021, red_footprints=1 (+0), t=27s, mem=184MB
d=935: frontier=12, visited=385523, red_footprints=1 (+0), t=27s, mem=184MB
d=936: frontier=12, visited=385954, red_footprints=1 (+0), t=27s, mem=184MB
d=937: frontier=12, visited=386355, red_footprints=1 (+0), t=27s, mem=184MB
d=938: frontier=12, visited=386768, red_footprints=1 (+0), t=27s, mem=184MB
d=939: frontier=12, visited=387204, red_footprints=1 (+0), t=27s, mem=185MB
d=940: frontier=12, visited=387561, red_footprints=1 (+0), t=27s, mem=185MB
d=941: frontier=12, visited=387977, red_footprints=1 (+0), t=27s, mem=185MB
d=942: frontier=12, visited=388356, red_footprints=1 (+0), t=27s, mem=185MB
d=943: frontier=12, visited=388742, red_footprints=1 (+0), t=27s, mem=185MB
d=944: frontier=12, visited=389154, red_footprints=1 (+0), t=27s, mem=186MB
d=945: frontier=12, visited=389589, red_footprints=1 (+0), t=27s, mem=186MB
d=946: frontier=12, visited=389938, red_footprints=1 (+0), t=27s, mem=186MB
d=947: frontier=12, visited=390414, red_footprints=1 (+0), t=27s, mem=186MB
d=948: frontier=12, visited=390936, red_footprints=1 (+0), t=27s, mem=186MB
d=949: frontier=12, visited=391460, red_footprints=1 (+0), t=27s, mem=187MB
d=950: frontier=12, visited=391978, red_footprints=1 (+0), t=27s, mem=187MB
d=951: frontier=12, visited=392551, red_footprints=1 (+0), t=27s, mem=187MB
d=952: frontier=12, visited=393054, red_footprints=1 (+0), t=27s, mem=187MB
d=953: frontier=12, visited=393611, red_footprints=1 (+0), t=27s, mem=188MB
d=954: frontier=12, visited=394122, red_footprints=1 (+0), t=27s, mem=188MB
d=955: frontier=12, visited=394609, red_footprints=1 (+0), t=27s, mem=188MB
d=956: frontier=12, visited=395108, red_footprints=1 (+0), t=28s, mem=188MB
d=957: frontier=12, visited=395623, red_footprints=1 (+0), t=28s, mem=189MB
d=958: frontier=12, visited=396020, red_footprints=1 (+0), t=28s, mem=189MB
